threshold,instance,seed,service_rate,runtime_s
0.3,lc108,42,0.9622641509433962,1.206939935684204
0.3,lc108,1,0.9622641509433962,1.2614319324493408
0.3,lc108,2,0.9622641509433962,1.2382421493530271
0.3,lc108,3,0.9622641509433962,1.2474653720855713
0.3,lc108,4,0.9622641509433962,1.242406129837036
0.3,lc109,42,0.9245283018867924,1.3922948837280271
0.3,lc109,1,0.9622641509433962,1.4389019012451172
0.3,lc109,2,0.9056603773584906,1.3746328353881836
0.3,lc109,3,0.9056603773584906,1.3601319789886477
0.3,lc109,4,0.9245283018867924,1.4227819442749023
0.3,lc207,42,0.9411764705882352,9.825671195983888
0.3,lc207,1,0.9803921568627452,16.973686933517456
0.3,lc207,2,0.9411764705882352,10.276631116867064
0.3,lc207,3,0.9215686274509804,28.534973859786987
0.3,lc207,4,0.9803921568627452,19.37301802635193
0.3,lc208,42,0.9607843137254902,10.00917911529541
0.3,lc208,1,0.9019607843137256,19.107709884643555
0.3,lc208,2,0.9215686274509804,5.2662811279296875
0.3,lc208,3,0.9215686274509804,19.247331619262695
0.3,lc208,4,0.9607843137254902,10.334275722503662
0.3,lr111,42,0.6666666666666666,1.2889018058776855
0.3,lr111,1,0.6666666666666666,1.3150830268859863
0.3,lr111,2,0.6666666666666666,1.2837769985198977
0.3,lr111,3,0.6666666666666666,1.2998220920562744
0.3,lr111,4,0.6666666666666666,1.2819528579711914
0.3,lr112,42,0.660377358490566,1.0010559558868408
0.3,lr112,1,0.660377358490566,1.010774850845337
0.3,lr112,2,0.660377358490566,1.0124690532684326
0.3,lr112,3,0.660377358490566,1.0083088874816897
0.3,lr112,4,0.660377358490566,1.0089540481567385
0.3,lr210,42,0.5294117647058824,1.051982879638672
0.3,lr210,1,0.5294117647058824,1.0261728763580322
0.3,lr210,2,0.5294117647058824,1.029989242553711
0.3,lr210,3,0.5294117647058824,1.0362982749938965
0.3,lr210,4,0.5294117647058824,1.0508317947387695
0.3,lr211,42,0.44,0.9575378894805908
0.3,lr211,1,0.44,1.5202829837799072
0.3,lr211,2,0.44,1.130896806716919
0.3,lr211,3,0.44,1.6624391078948977
0.3,lr211,4,0.44,1.5111989974975586
0.3,lrc107,42,0.7358490566037735,0.8723869323730469
0.3,lrc107,1,0.7358490566037735,0.8518059253692627
0.3,lrc107,2,0.7358490566037735,0.8151538372039795
0.3,lrc107,3,0.7358490566037735,0.8015689849853516
0.3,lrc107,4,0.7169811320754716,0.746877908706665
0.3,lrc108,42,0.7307692307692307,0.8796401023864746
0.3,lrc108,1,0.7307692307692307,0.8666439056396484
0.3,lrc108,2,0.7307692307692307,0.8675079345703125
0.3,lrc108,3,0.7307692307692307,0.8610281944274902
0.3,lrc108,4,0.7307692307692307,0.8733351230621338
0.3,lrc207,42,0.5294117647058824,0.7959537506103516
0.3,lrc207,1,0.5294117647058824,0.7928581237792969
0.3,lrc207,2,0.5294117647058824,0.8108892440795898
0.3,lrc207,3,0.5294117647058824,0.8182680606842041
0.3,lrc207,4,0.5294117647058824,0.7919149398803711
0.3,lrc208,42,0.5686274509803921,1.2375051975250244
0.3,lrc208,1,0.5686274509803921,1.2915420532226562
0.3,lrc208,2,0.5686274509803921,1.2984468936920166
0.3,lrc208,3,0.5686274509803921,1.2906758785247805
0.3,lrc208,4,0.5686274509803921,1.3291587829589844
0.4,lc108,42,0.9622641509433962,13.526505947113037
0.4,lc108,1,0.9622641509433962,1.2143828868865967
0.4,lc108,2,0.9622641509433962,1.2506260871887207
0.4,lc108,3,0.9622641509433962,1.4230430126190186
0.4,lc108,4,0.9622641509433962,1.2994706630706787
0.4,lc109,42,0.9245283018867925,1.534708023071289
0.4,lc109,1,0.9245283018867925,1.5541539192199707
0.4,lc109,2,0.9056603773584906,1.4332880973815918
0.4,lc109,3,0.9056603773584906,1.5594167709350586
0.4,lc109,4,0.9245283018867925,1.4554219245910645
0.4,lc207,42,0.8431372549019608,13.7624671459198
0.4,lc207,1,0.9607843137254902,13.13654899597168
0.4,lc207,2,0.9215686274509803,8.114179849624634
0.4,lc207,3,0.803921568627451,5.79437780380249
0.4,lc207,4,0.8431372549019608,15.21557092666626
0.4,lc208,42,0.9215686274509803,5.602196931838989
0.4,lc208,1,0.9019607843137255,19.083774089813232
0.4,lc208,2,0.9215686274509803,5.258328914642334
0.4,lc208,3,0.9019607843137255,5.258439302444458
0.4,lc208,4,0.9607843137254902,9.859050035476685
0.4,lr111,42,0.6666666666666666,1.2036938667297363
0.4,lr111,1,0.6666666666666666,1.089548110961914
0.4,lr111,2,0.6666666666666666,1.0083038806915283
0.4,lr111,3,0.6666666666666666,1.0309689044952393
0.4,lr111,4,0.6666666666666666,0.9955868721008301
0.4,lr112,42,0.660377358490566,0.9068648815155029
0.4,lr112,1,0.660377358490566,1.0369951725006104
0.4,lr112,2,0.660377358490566,0.8372368812561035
0.4,lr112,3,0.660377358490566,0.8523340225219727
0.4,lr112,4,0.660377358490566,0.9677791595458984
0.4,lr210,42,0.5490196078431373,1.2365899085998535
0.4,lr210,1,0.5098039215686274,1.1390740871429443
0.4,lr210,2,0.5490196078431373,1.0974488258361816
0.4,lr210,3,0.5490196078431373,1.1608819961547852
0.4,lr210,4,0.5098039215686274,1.2387537956237793
0.4,lr211,42,0.44,1.8775241374969482
0.4,lr211,1,0.44,1.3360881805419922
0.4,lr211,2,0.44,1.0888769626617432
0.4,lr211,3,0.44,1.2704901695251465
0.4,lr211,4,0.44,1.19004225730896
0.4,lrc107,42,0.6981132075471698,0.5728189945220947
0.4,lrc107,1,0.6981132075471698,0.5547289848327637
0.4,lrc107,2,0.6981132075471698,0.6475348472595215
0.4,lrc107,3,0.6981132075471698,0.5737631320953369
0.4,lrc107,4,0.6981132075471698,0.6908059120178223
0.4,lrc108,42,0.7115384615384616,0.6050498485565186
0.4,lrc108,1,0.75,0.6017951965332031
0.4,lrc108,2,0.7307692307692307,0.6482067108154297
0.4,lrc108,3,0.7115384615384616,0.6138167381286621
0.4,lrc108,4,0.7115384615384616,0.7160389423370361
0.4,lrc207,42,0.5294117647058824,0.9038891792297363
0.4,lrc207,1,0.5294117647058824,0.9431543350219727
0.4,lrc207,2,0.5294117647058824,0.9226019382476807
0.4,lrc207,3,0.5294117647058824,0.9370670318603516
0.4,lrc207,4,0.5294117647058824,1.0424389839172363
0.4,lrc208,42,0.5686274509803921,1.4382269382476807
0.4,lrc208,1,0.5686274509803921,1.4957880973815918
0.4,lrc208,2,0.5686274509803921,1.5447633266448975
0.4,lrc208,3,0.5686274509803921,1.5077621936798096
0.4,lrc208,4,0.5686274509803921,1.4213931560516357
0.6,lc108,42,0.9622641509433962,1.3978641033172607
0.6,lc108,1,0.9622641509433962,1.4222989082336426
0.6,lc108,2,0.9622641509433962,1.3648769855499268
0.6,lc108,3,0.9622641509433962,1.4786360263824463
0.6,lc108,4,0.9622641509433962,1.3404591083526611
0.6,lc109,42,0.9245283018867925,1.6962130069732666
0.6,lc109,1,0.9433962264150944,1.5369892120361328
0.6,lc109,2,0.9056603773584906,1.6272683143615723
0.6,lc109,3,0.9433962264150944,1.6861979961395264
0.6,lc109,4,0.8867924528301887,1.6126768589019775
0.6,lc207,42,0.8627450980392157,4.518537998199463
0.6,lc207,1,0.9019607843137255,42.50159692764282
0.6,lc207,2,0.9019607843137255,37.811923027038574
0.6,lc207,3,0.8823529411764706,9.996021032333374
0.6,lc207,4,0.9019607843137255,37.58332276344299
0.6,lc208,42,0.9215686274509803,5.24109411239624
0.6,lc208,1,0.9019607843137255,5.10141396522522
0.6,lc208,2,0.9019607843137255,4.913180828094482
0.6,lc208,3,0.9215686274509803,5.001062870025635
0.6,lc208,4,0.9215686274509803,5.098512887954712
0.6,lr111,42,0.6481481481481481,0.789992094039917
0.6,lr111,1,0.6481481481481481,0.8136920928955078
0.6,lr111,2,0.6481481481481481,0.775170087814331
0.6,lr111,3,0.6481481481481481,0.8479511737823486
0.6,lr111,4,0.6481481481481481,0.8097059726715088
0.6,lr112,42,0.6037735849056604,0.6882829666137695
0.6,lr112,1,0.6037735849056604,0.7486979961395264
0.6,lr112,2,0.6037735849056604,0.671759843826294
0.6,lr112,3,0.6037735849056604,0.6703848838806152
0.6,lr112,4,0.6037735849056604,0.6740398406982422
0.6,lr210,42,0.5098039215686274,1.1922008991241455
0.6,lr210,1,0.5294117647058824,1.1949467658996582
0.6,lr210,2,0.5098039215686274,1.1891939640045166
0.6,lr210,3,0.5294117647058824,1.176306962966919
0.6,lr210,4,0.5294117647058824,1.1847190856933594
0.6,lr211,42,0.44,1.575042963027954
0.6,lr211,1,0.44,1.2337889671325684
0.6,lr211,2,0.44,1.3987650871276855
0.6,lr211,3,0.44,1.4955182075500488
0.6,lr211,4,0.44,1.0318002700805664
0.6,lrc107,42,0.6792452830188679,0.5861937999725342
0.6,lrc107,1,0.6792452830188679,0.6074800491333008
0.6,lrc107,2,0.6792452830188679,0.5873889923095703
0.6,lrc107,3,0.6792452830188679,0.6004869937896729
0.6,lrc107,4,0.6792452830188679,0.6017730236053467
0.6,lrc108,42,0.6346153846153846,0.6552422046661377
0.6,lrc108,1,0.6346153846153846,0.6377768516540527
0.6,lrc108,2,0.6346153846153846,0.6569516658782959
0.6,lrc108,3,0.6346153846153846,0.581899881362915
0.6,lrc108,4,0.6346153846153846,0.5876650810241699
0.6,lrc207,42,0.5294117647058824,1.0170629024505615
0.6,lrc207,1,0.5294117647058824,1.07948899269104
0.6,lrc207,2,0.5294117647058824,1.0679140090942383
0.6,lrc207,3,0.5294117647058824,1.0626771450042725
0.6,lrc207,4,0.5294117647058824,0.9544796943664551
0.6,lrc208,42,0.5686274509803921,1.23557710647583
0.6,lrc208,1,0.5686274509803921,1.1985719203948975
0.6,lrc208,2,0.5686274509803921,1.1822898387908936
0.6,lrc208,3,0.5686274509803921,1.236436367034912
0.6,lrc208,4,0.5686274509803921,1.2192418575286865
